"year","zone","band","measure","value"
"2010","S01001790","Band A","Count",1
"2006","S01001790","Band A","Count",1
"2007","S01001790","Band E","Count",77
"2012","S01001790","Band E","Count",77
"2008","S01001790","Band E","Count",77
"2011","S01001790","Band E","Count",77
"2013","S01001790","Band E","Count",77
"2009","S01001790","Band E","Count",77
"2006","S01001790","Band E","Count",76
"2003","S01001790","Band E","Count",76
"2010","S01001790","Band E","Count",77
"2013","S01001790","Band F","Count",54
"2005","S01001790","Band F","Count",55
"2006","S01001790","Band F","Count",55
"2009","S01001790","Band F","Count",53
"2011","S01001790","Band F","Count",54
"2012","S01001790","Band F","Count",54
"2007","S01001790","Band F","Count",54
"2010","S01001790","Band F","Count",54
"2003","S01001790","Band F","Count",55
"2008","S01001790","Band F","Count",54
"2004","S01001790","Band F","Count",55
"2003","S01001790","Band G","Count",39
"2004","S01001790","Band G","Count",39
"2013","S01001790","Band G","Count",39
"2009","S01001790","Band G","Count",40
"2008","S01001790","Band G","Count",39
"2005","S01001790","Band G","Count",39
"2007","S01001790","Band G","Count",39
"2006","S01001790","Band G","Count",39
"2012","S01001790","Band G","Count",39
"2011","S01001790","Band G","Count",39
"2010","S01001790","Band G","Count",39
"2004","S01001790","Band H","Count",3
"2005","S01001790","Band H","Count",3
"2006","S01001790","Band H","Count",3
"2007","S01001790","Band H","Count",3
"2008","S01001790","Band H","Count",5
"2009","S01001790","Band H","Count",5
"2010","S01001790","Band H","Count",5
"2011","S01001790","Band H","Count",5
"2012","S01001790","Band H","Count",5
"2013","S01001790","Band H","Count",5
"2003","S01001790","Band H","Count",3
"2009","S01001790","Band A","Count",1
"2012","S01001790","Band A","Count",1
"2003","S01001790","Band A","Count",1
"2011","S01001790","Band A","Count",1
"2004","S01001790","Band A","Count",1
"2005","S01001790","Band A","Count",1
"2008","S01001790","Band A","Count",1
"2007","S01001790","Band A","Count",1
"2013","S01001790","Band A","Count",1
"2003","S01001790","Band B","Count",1
"2005","S01001790","Band B","Count",1
"2006","S01001790","Band B","Count",1
"2007","S01001790","Band B","Count",1
"2008","S01001790","Band B","Count",1
"2009","S01001790","Band B","Count",1
"2013","S01001790","Band B","Count",1
"2012","S01001790","Band B","Count",1
"2004","S01001790","Band B","Count",1
"2010","S01001790","Band B","Count",1
"2011","S01001790","Band B","Count",1
"2008","S01001790","Band C","Count",129
"2004","S01001790","Band C","Count",131
"2010","S01001790","Band C","Count",129
"2007","S01001790","Band C","Count",129
"2005","S01001790","Band C","Count",131
"2006","S01001790","Band C","Count",131
"2011","S01001790","Band C","Count",129
"2012","S01001790","Band C","Count",129
"2013","S01001790","Band C","Count",129
"2003","S01001790","Band C","Count",131
"2009","S01001790","Band C","Count",129
"2005","S01001790","Band D","Count",12
"2007","S01001790","Band D","Count",12
"2011","S01001790","Band D","Count",12
"2008","S01001790","Band D","Count",12
"2003","S01001790","Band D","Count",12
"2013","S01001790","Band D","Count",12
"2009","S01001790","Band D","Count",12
"2012","S01001790","Band D","Count",12
"2010","S01001790","Band D","Count",12
"2006","S01001790","Band D","Count",12
"2004","S01001790","Band D","Count",12
"2005","S01001790","Band E","Count",76
"2004","S01001790","Band E","Count",76
"2004","S01001790","Band A","Ratio","0.31"
"2011","S01001790","Band A","Ratio","0.31"
"2010","S01001790","Band A","Ratio","0.31"
"2008","S01001790","Bands A-C","Ratio","41.2"
"2004","S01001790","Bands A-C","Ratio","41.82"
"2012","S01001790","Band A","Ratio","0.31"
"2013","S01001790","Bands A-C","Ratio","41.19"
"2007","S01001790","Bands A-C","Ratio","41.46"
"2009","S01001790","Bands D-E","Ratio","27.99"
"2006","S01001790","Bands D-E","Ratio","27.67"
"2009","S01001790","Band A","Ratio","0.31"
"2008","S01001790","Band A","Ratio","0.31"
"2008","S01001790","Bands D-E","Ratio","27.99"
"2005","S01001790","Band A","Ratio","0.31"
"2011","S01001790","Bands D-E","Ratio","27.99"
"2013","S01001790","Band A","Ratio","0.31"
"2005","S01001790","Bands D-E","Ratio","27.67"
"2007","S01001790","Band A","Ratio","0.32"
"2003","S01001790","Band A","Ratio","0.31"
"2006","S01001790","Band A","Ratio","0.31"
"2010","S01001790","Bands D-E","Ratio","27.99"
"2012","S01001790","Bands D-E","Ratio","27.99"
"2013","S01001790","Bands D-E","Ratio","27.99"
"2007","S01001790","Bands D-E","Ratio","28.16"
"2004","S01001790","Bands F-H","Ratio","30.5"
"2011","S01001790","Bands F-H","Ratio","30.82"
"2010","S01001790","Bands F-H","Ratio","30.82"
"2009","S01001790","Bands F-H","Ratio","30.82"
"2008","S01001790","Bands F-H","Ratio","30.82"
"2007","S01001790","Bands F-H","Ratio","30.38"
"2013","S01001790","Bands F-H","Ratio","30.82"
"2006","S01001790","Bands F-H","Ratio","30.5"
"2003","S01001790","Bands F-H","Ratio","30.5"
"2005","S01001790","Bands F-H","Ratio","30.5"
"2012","S01001790","Bands F-H","Ratio","30.82"
"2003","S01001790","Bands A-C","Ratio","41.82"
"2011","S01001790","Bands A-C","Ratio","41.2"
"2006","S01001790","Bands A-C","Ratio","41.82"
"2005","S01001790","Bands A-C","Ratio","41.82"
"2009","S01001790","Bands A-C","Ratio","41.2"
"2012","S01001790","Bands A-C","Ratio","41.2"
"2010","S01001790","Bands A-C","Ratio","41.2"
"2010","S01001791","Band A","Count",3
"2006","S01001791","Band A","Count",3
"2007","S01001791","Band E","Count",66
"2012","S01001791","Band E","Count",66
"2008","S01001791","Band E","Count",66
"2011","S01001791","Band E","Count",66
"2013","S01001791","Band E","Count",66
"2009","S01001791","Band E","Count",66
"2006","S01001791","Band E","Count",65
"2003","S01001791","Band E","Count",65
"2010","S01001791","Band E","Count",66
"2013","S01001791","Band F","Count",69
"2005","S01001791","Band F","Count",66
"2006","S01001791","Band F","Count",67
"2009","S01001791","Band F","Count",68
"2011","S01001791","Band F","Count",69
"2012","S01001791","Band F","Count",69
"2007","S01001791","Band F","Count",68
"2010","S01001791","Band F","Count",68
"2003","S01001791","Band F","Count",63
"2008","S01001791","Band F","Count",69
"2004","S01001791","Band F","Count",65
"2003","S01001791","Band G","Count",61
"2004","S01001791","Band G","Count",62
"2013","S01001791","Band G","Count",65
"2009","S01001791","Band G","Count",63
"2008","S01001791","Band G","Count",63
"2005","S01001791","Band G","Count",62
"2007","S01001791","Band G","Count",63
"2006","S01001791","Band G","Count",63
"2012","S01001791","Band G","Count",65
"2011","S01001791","Band G","Count",65
"2010","S01001791","Band G","Count",64
"2004","S01001791","Band H","Count",5
"2005","S01001791","Band H","Count",5
"2006","S01001791","Band H","Count",6
"2007","S01001791","Band H","Count",6
"2008","S01001791","Band H","Count",6
"2009","S01001791","Band H","Count",6
"2010","S01001791","Band H","Count",5
"2011","S01001791","Band H","Count",5
"2012","S01001791","Band H","Count",5
"2013","S01001791","Band H","Count",5
"2003","S01001791","Band H","Count",5
"2009","S01001791","Band A","Count",7
"2012","S01001791","Band A","Count",3
"2003","S01001791","Band A","Count",3
"2011","S01001791","Band A","Count",3
"2004","S01001791","Band A","Count",3
"2005","S01001791","Band A","Count",3
"2008","S01001791","Band A","Count",3
"2007","S01001791","Band A","Count",3
"2013","S01001791","Band A","Count",3
"2003","S01001791","Band B","Count",0
"2005","S01001791","Band B","Count",0
"2006","S01001791","Band B","Count",0
"2007","S01001791","Band B","Count",0
"2008","S01001791","Band B","Count",0
"2009","S01001791","Band B","Count",0
"2013","S01001791","Band B","Count",0
"2012","S01001791","Band B","Count",0
"2004","S01001791","Band B","Count",0
"2010","S01001791","Band B","Count",0
"2011","S01001791","Band B","Count",0
"2008","S01001791","Band C","Count",69
"2004","S01001791","Band C","Count",69
"2010","S01001791","Band C","Count",69
"2007","S01001791","Band C","Count",69
"2005","S01001791","Band C","Count",69
"2006","S01001791","Band C","Count",69
"2011","S01001791","Band C","Count",69
"2012","S01001791","Band C","Count",69
"2013","S01001791","Band C","Count",69
"2003","S01001791","Band C","Count",71
"2009","S01001791","Band C","Count",71
"2005","S01001791","Band D","Count",31
"2007","S01001791","Band D","Count",30
"2011","S01001791","Band D","Count",30
"2008","S01001791","Band D","Count",30
"2003","S01001791","Band D","Count",31
"2013","S01001791","Band D","Count",30
"2009","S01001791","Band D","Count",30
"2012","S01001791","Band D","Count",30
"2010","S01001791","Band D","Count",30
"2006","S01001791","Band D","Count",30
"2004","S01001791","Band D","Count",31
"2005","S01001791","Band E","Count",64
"2004","S01001791","Band E","Count",65
"2004","S01001791","Band A","Ratio",1
"2011","S01001791","Band A","Ratio","0.98"
"2010","S01001791","Band A","Ratio","0.98"
"2008","S01001791","Bands A-C","Ratio","23.53"
"2004","S01001791","Bands A-C","Ratio",24
"2012","S01001791","Band A","Ratio","0.98"
"2013","S01001791","Bands A-C","Ratio","23.45"
"2007","S01001791","Bands A-C","Ratio","23.61"
"2009","S01001791","Bands D-E","Ratio","30.87"
"2006","S01001791","Bands D-E","Ratio","31.35"
"2009","S01001791","Band A","Ratio","2.25"
"2008","S01001791","Band A","Ratio","0.98"
"2008","S01001791","Bands D-E","Ratio","31.37"
"2005","S01001791","Band A","Ratio",1
"2011","S01001791","Bands D-E","Ratio","31.27"
"2013","S01001791","Band A","Ratio","0.98"
"2005","S01001791","Bands D-E","Ratio","31.67"
"2007","S01001791","Band A","Ratio","0.98"
"2003","S01001791","Band A","Ratio",1
"2006","S01001791","Band A","Ratio","0.99"
"2010","S01001791","Bands D-E","Ratio","31.48"
"2012","S01001791","Bands D-E","Ratio","31.27"
"2013","S01001791","Bands D-E","Ratio","31.27"
"2007","S01001791","Bands D-E","Ratio","31.48"
"2004","S01001791","Bands F-H","Ratio",44
"2011","S01001791","Bands F-H","Ratio","45.28"
"2010","S01001791","Bands F-H","Ratio","44.92"
"2009","S01001791","Bands F-H","Ratio","44.05"
"2008","S01001791","Bands F-H","Ratio","45.1"
"2007","S01001791","Bands F-H","Ratio","44.92"
"2013","S01001791","Bands F-H","Ratio","45.28"
"2006","S01001791","Bands F-H","Ratio","44.88"
"2003","S01001791","Bands F-H","Ratio","43.14"
"2005","S01001791","Bands F-H","Ratio","44.33"
"2012","S01001791","Bands F-H","Ratio","45.28"
"2003","S01001791","Bands A-C","Ratio","24.75"
"2011","S01001791","Bands A-C","Ratio","23.45"
"2006","S01001791","Bands A-C","Ratio","23.76"
"2005","S01001791","Bands A-C","Ratio",24
"2009","S01001791","Bands A-C","Ratio","25.08"
"2012","S01001791","Bands A-C","Ratio","23.45"
"2010","S01001791","Bands A-C","Ratio","23.61"
"2010","S01001792","Band A","Count",0
"2006","S01001792","Band A","Count",0
"2007","S01001792","Band E","Count",74
"2012","S01001792","Band E","Count",73
"2008","S01001792","Band E","Count",74
"2011","S01001792","Band E","Count",74
"2013","S01001792","Band E","Count",73
"2009","S01001792","Band E","Count",74
"2006","S01001792","Band E","Count",74
"2003","S01001792","Band E","Count",74
"2010","S01001792","Band E","Count",74
"2013","S01001792","Band F","Count",46
"2005","S01001792","Band F","Count",45
"2006","S01001792","Band F","Count",45
"2009","S01001792","Band F","Count",45
"2011","S01001792","Band F","Count",45
"2012","S01001792","Band F","Count",46
"2007","S01001792","Band F","Count",45
"2010","S01001792","Band F","Count",45
"2003","S01001792","Band F","Count",45
"2008","S01001792","Band F","Count",45
"2004","S01001792","Band F","Count",45
"2003","S01001792","Band G","Count",15
"2004","S01001792","Band G","Count",15
"2013","S01001792","Band G","Count",15
"2009","S01001792","Band G","Count",15
"2008","S01001792","Band G","Count",15
"2005","S01001792","Band G","Count",15
"2007","S01001792","Band G","Count",15
"2006","S01001792","Band G","Count",15
"2012","S01001792","Band G","Count",15
"2011","S01001792","Band G","Count",15
"2010","S01001792","Band G","Count",15
"2004","S01001792","Band H","Count",1
"2005","S01001792","Band H","Count",1
"2006","S01001792","Band H","Count",1
"2007","S01001792","Band H","Count",1
"2008","S01001792","Band H","Count",1
"2009","S01001792","Band H","Count",1
"2010","S01001792","Band H","Count",1
"2011","S01001792","Band H","Count",1
"2012","S01001792","Band H","Count",1
"2013","S01001792","Band H","Count",1
"2003","S01001792","Band H","Count",1
"2009","S01001792","Band A","Count",0
"2012","S01001792","Band A","Count",0
"2003","S01001792","Band A","Count",0
"2011","S01001792","Band A","Count",0
"2004","S01001792","Band A","Count",0
"2005","S01001792","Band A","Count",0
"2008","S01001792","Band A","Count",0
"2007","S01001792","Band A","Count",0
"2013","S01001792","Band A","Count",0
"2003","S01001792","Band B","Count",73
"2005","S01001792","Band B","Count",73
"2006","S01001792","Band B","Count",73
"2007","S01001792","Band B","Count",73
"2008","S01001792","Band B","Count",73
"2009","S01001792","Band B","Count",73
"2013","S01001792","Band B","Count",73
"2012","S01001792","Band B","Count",73
"2004","S01001792","Band B","Count",73
"2010","S01001792","Band B","Count",73
"2011","S01001792","Band B","Count",73
"2008","S01001792","Band C","Count",68
"2004","S01001792","Band C","Count",68
"2010","S01001792","Band C","Count",68
"2007","S01001792","Band C","Count",68
"2005","S01001792","Band C","Count",68
"2006","S01001792","Band C","Count",68
"2011","S01001792","Band C","Count",68
"2012","S01001792","Band C","Count",68
"2013","S01001792","Band C","Count",68
"2003","S01001792","Band C","Count",68
"2009","S01001792","Band C","Count",68
"2005","S01001792","Band D","Count",15
"2007","S01001792","Band D","Count",15
"2011","S01001792","Band D","Count",15
"2008","S01001792","Band D","Count",15
"2003","S01001792","Band D","Count",15
"2013","S01001792","Band D","Count",15
"2009","S01001792","Band D","Count",15
"2012","S01001792","Band D","Count",15
"2010","S01001792","Band D","Count",15
"2006","S01001792","Band D","Count",15
"2004","S01001792","Band D","Count",15
"2005","S01001792","Band E","Count",74
"2004","S01001792","Band E","Count",74
"2004","S01001792","Band A","Ratio",0
"2011","S01001792","Band A","Ratio",0
"2010","S01001792","Band A","Ratio",0
"2008","S01001792","Bands A-C","Ratio","48.45"
"2004","S01001792","Bands A-C","Ratio","48.45"
"2012","S01001792","Band A","Ratio",0
"2013","S01001792","Bands A-C","Ratio","48.45"
"2007","S01001792","Bands A-C","Ratio","48.45"
"2009","S01001792","Bands D-E","Ratio","30.58"
"2006","S01001792","Bands D-E","Ratio","30.58"
"2009","S01001792","Band A","Ratio",0
"2008","S01001792","Band A","Ratio",0
"2008","S01001792","Bands D-E","Ratio","30.58"
"2005","S01001792","Band A","Ratio",0
"2011","S01001792","Bands D-E","Ratio","30.58"
"2013","S01001792","Band A","Ratio",0
"2005","S01001792","Bands D-E","Ratio","30.58"
"2007","S01001792","Band A","Ratio",0
"2003","S01001792","Band A","Ratio",0
"2006","S01001792","Band A","Ratio",0
"2010","S01001792","Bands D-E","Ratio","30.58"
"2012","S01001792","Bands D-E","Ratio","30.24"
"2013","S01001792","Bands D-E","Ratio","30.24"
"2007","S01001792","Bands D-E","Ratio","30.58"
"2004","S01001792","Bands F-H","Ratio","20.96"
"2011","S01001792","Bands F-H","Ratio","20.96"
"2010","S01001792","Bands F-H","Ratio","20.96"
"2009","S01001792","Bands F-H","Ratio","20.96"
"2008","S01001792","Bands F-H","Ratio","20.96"
"2007","S01001792","Bands F-H","Ratio","20.96"
"2013","S01001792","Bands F-H","Ratio","21.31"
"2006","S01001792","Bands F-H","Ratio","20.96"
"2003","S01001792","Bands F-H","Ratio","20.96"
"2005","S01001792","Bands F-H","Ratio","20.96"
"2012","S01001792","Bands F-H","Ratio","21.31"
"2003","S01001792","Bands A-C","Ratio","48.45"
"2011","S01001792","Bands A-C","Ratio","48.45"
"2006","S01001792","Bands A-C","Ratio","48.45"
"2005","S01001792","Bands A-C","Ratio","48.45"
"2009","S01001792","Bands A-C","Ratio","48.45"
"2012","S01001792","Bands A-C","Ratio","48.45"
"2010","S01001792","Bands A-C","Ratio","48.45"
"2010","S01001793","Band A","Count",2
"2006","S01001793","Band A","Count",2
"2007","S01001793","Band E","Count",39
"2012","S01001793","Band E","Count",37
"2008","S01001793","Band E","Count",39
"2011","S01001793","Band E","Count",37
"2013","S01001793","Band E","Count",36
"2009","S01001793","Band E","Count",39
"2006","S01001793","Band E","Count",39
"2003","S01001793","Band E","Count",37
"2010","S01001793","Band E","Count",39
"2013","S01001793","Band F","Count",37
"2005","S01001793","Band F","Count",16
"2006","S01001793","Band F","Count",17
"2009","S01001793","Band F","Count",37
"2011","S01001793","Band F","Count",37
"2012","S01001793","Band F","Count",37
"2007","S01001793","Band F","Count",16
"2010","S01001793","Band F","Count",37
"2003","S01001793","Band F","Count",15
"2008","S01001793","Band F","Count",26
"2004","S01001793","Band F","Count",16
"2003","S01001793","Band G","Count",89
"2004","S01001793","Band G","Count",92
"2013","S01001793","Band G","Count",95
"2009","S01001793","Band G","Count",95
"2008","S01001793","Band G","Count",95
"2005","S01001793","Band G","Count",91
"2007","S01001793","Band G","Count",94
"2006","S01001793","Band G","Count",94
"2012","S01001793","Band G","Count",94
"2011","S01001793","Band G","Count",95
"2010","S01001793","Band G","Count",95
"2004","S01001793","Band H","Count",24
"2005","S01001793","Band H","Count",26
"2006","S01001793","Band H","Count",26
"2007","S01001793","Band H","Count",26
"2008","S01001793","Band H","Count",26
"2009","S01001793","Band H","Count",26
"2010","S01001793","Band H","Count",26
"2011","S01001793","Band H","Count",27
"2012","S01001793","Band H","Count",28
"2013","S01001793","Band H","Count",28
"2003","S01001793","Band H","Count",22
"2009","S01001793","Band A","Count",2
"2012","S01001793","Band A","Count",2
"2003","S01001793","Band A","Count",2
"2011","S01001793","Band A","Count",2
"2004","S01001793","Band A","Count",2
"2005","S01001793","Band A","Count",2
"2008","S01001793","Band A","Count",2
"2007","S01001793","Band A","Count",2
"2013","S01001793","Band A","Count",2
"2003","S01001793","Band B","Count",71
"2005","S01001793","Band B","Count",71
"2006","S01001793","Band B","Count",71
"2007","S01001793","Band B","Count",70
"2008","S01001793","Band B","Count",70
"2009","S01001793","Band B","Count",70
"2013","S01001793","Band B","Count",70
"2012","S01001793","Band B","Count",70
"2004","S01001793","Band B","Count",71
"2010","S01001793","Band B","Count",70
"2011","S01001793","Band B","Count",70
"2008","S01001793","Band C","Count",67
"2004","S01001793","Band C","Count",67
"2010","S01001793","Band C","Count",66
"2007","S01001793","Band C","Count",67
"2005","S01001793","Band C","Count",65
"2006","S01001793","Band C","Count",66
"2011","S01001793","Band C","Count",66
"2012","S01001793","Band C","Count",66
"2013","S01001793","Band C","Count",66
"2003","S01001793","Band C","Count",67
"2009","S01001793","Band C","Count",66
"2005","S01001793","Band D","Count",54
"2007","S01001793","Band D","Count",58
"2011","S01001793","Band D","Count",63
"2008","S01001793","Band D","Count",61
"2003","S01001793","Band D","Count",55
"2013","S01001793","Band D","Count",63
"2009","S01001793","Band D","Count",63
"2012","S01001793","Band D","Count",63
"2010","S01001793","Band D","Count",63
"2006","S01001793","Band D","Count",58
"2004","S01001793","Band D","Count",55
"2005","S01001793","Band E","Count",39
"2004","S01001793","Band E","Count",37
"2004","S01001793","Band A","Ratio","0.55"
"2011","S01001793","Band A","Ratio","0.5"
"2010","S01001793","Band A","Ratio","0.5"
"2008","S01001793","Bands A-C","Ratio","36.01"
"2004","S01001793","Bands A-C","Ratio","38.46"
"2012","S01001793","Band A","Ratio","0.5"
"2013","S01001793","Bands A-C","Ratio","34.76"
"2007","S01001793","Bands A-C","Ratio","37.37"
"2009","S01001793","Bands D-E","Ratio","25.63"
"2006","S01001793","Bands D-E","Ratio","26.01"
"2009","S01001793","Band A","Ratio","0.5"
"2008","S01001793","Band A","Ratio","0.52"
"2008","S01001793","Bands D-E","Ratio","25.91"
"2005","S01001793","Band A","Ratio","0.55"
"2011","S01001793","Bands D-E","Ratio","25.19"
"2013","S01001793","Band A","Ratio","0.5"
"2005","S01001793","Bands D-E","Ratio","25.55"
"2007","S01001793","Band A","Ratio","0.54"
"2003","S01001793","Band A","Ratio","0.56"
"2006","S01001793","Band A","Ratio","0.54"
"2010","S01001793","Bands D-E","Ratio","25.63"
"2012","S01001793","Bands D-E","Ratio","25.19"
"2013","S01001793","Bands D-E","Ratio","24.94"
"2007","S01001793","Bands D-E","Ratio","26.08"
"2004","S01001793","Bands F-H","Ratio","36.26"
"2011","S01001793","Bands F-H","Ratio","40.05"
"2010","S01001793","Bands F-H","Ratio","39.7"
"2009","S01001793","Bands F-H","Ratio","39.7"
"2008","S01001793","Bands F-H","Ratio","38.08"
"2007","S01001793","Bands F-H","Ratio","36.56"
"2013","S01001793","Bands F-H","Ratio","40.3"
"2006","S01001793","Bands F-H","Ratio","36.73"
"2003","S01001793","Bands F-H","Ratio","35.2"
"2005","S01001793","Bands F-H","Ratio","36.54"
"2012","S01001793","Bands F-H","Ratio","40.05"
"2003","S01001793","Bands A-C","Ratio","39.11"
"2011","S01001793","Bands A-C","Ratio","34.76"
"2006","S01001793","Bands A-C","Ratio","37.27"
"2005","S01001793","Bands A-C","Ratio","37.91"
"2009","S01001793","Bands A-C","Ratio","34.67"
"2012","S01001793","Bands A-C","Ratio","34.76"
"2010","S01001793","Bands A-C","Ratio","34.67"
"2013","S01001794","Band E","Count",35
"2007","S01001794","Band E","Count",36
"2008","S01001794","Band E","Count",36
"2012","S01001794","Band E","Count",36
"2011","S01001794","Band E","Count",36
"2009","S01001794","Band E","Count",36
"2006","S01001794","Band E","Count",36
"2010","S01001794","Band E","Count",36
"2003","S01001794","Band E","Count",37
"2010","S01001794","Band F","Count",29
"2013","S01001794","Band F","Count",30
"2005","S01001794","Band F","Count",28
"2006","S01001794","Band F","Count",29
"2009","S01001794","Band F","Count",29
"2011","S01001794","Band F","Count",29
"2012","S01001794","Band F","Count",29
"2007","S01001794","Band F","Count",29
"2003","S01001794","Band F","Count",28
"2008","S01001794","Band F","Count",29
"2004","S01001794","Band F","Count",28
"2011","S01001794","Band G","Count",104
"2008","S01001794","Band G","Count",105
"2013","S01001794","Band G","Count",104
"2004","S01001794","Band G","Count",105
"2009","S01001794","Band G","Count",105
"2005","S01001794","Band G","Count",105
"2010","S01001794","Band G","Count",105
"2003","S01001794","Band G","Count",105
"2007","S01001794","Band G","Count",105
"2012","S01001794","Band G","Count",104
"2006","S01001794","Band G","Count",105
"2004","S01001794","Band H","Count",17
"2005","S01001794","Band H","Count",17
"2006","S01001794","Band H","Count",17
"2007","S01001794","Band H","Count",17
"2008","S01001794","Band H","Count",17
"2009","S01001794","Band H","Count",17
"2010","S01001794","Band H","Count",17
"2011","S01001794","Band H","Count",17
"2012","S01001794","Band H","Count",17
"2013","S01001794","Band H","Count",18
"2003","S01001794","Band H","Count",17
"2006","S01001794","Band A","Count",0
"2010","S01001794","Band A","Count",0
"2009","S01001794","Band A","Count",0
"2012","S01001794","Band A","Count",0
"2003","S01001794","Band A","Count",0
"2011","S01001794","Band A","Count",0
"2004","S01001794","Band A","Count",0
"2005","S01001794","Band A","Count",0
"2008","S01001794","Band A","Count",0
"2007","S01001794","Band A","Count",0
"2013","S01001794","Band A","Count",0
"2003","S01001794","Band B","Count",87
"2005","S01001794","Band B","Count",87
"2006","S01001794","Band B","Count",87
"2007","S01001794","Band B","Count",87
"2008","S01001794","Band B","Count",87
"2009","S01001794","Band B","Count",87
"2013","S01001794","Band B","Count",87
"2010","S01001794","Band B","Count",87
"2012","S01001794","Band B","Count",87
"2004","S01001794","Band B","Count",87
"2011","S01001794","Band B","Count",87
"2008","S01001794","Band C","Count",85
"2004","S01001794","Band C","Count",85
"2006","S01001794","Band C","Count",85
"2007","S01001794","Band C","Count",85
"2005","S01001794","Band C","Count",85
"2012","S01001794","Band C","Count",85
"2011","S01001794","Band C","Count",85
"2010","S01001794","Band C","Count",85
"2013","S01001794","Band C","Count",85
"2003","S01001794","Band C","Count",85
"2009","S01001794","Band C","Count",85
"2005","S01001794","Band D","Count",19
"2007","S01001794","Band D","Count",19
"2008","S01001794","Band D","Count",19
"2003","S01001794","Band D","Count",20
"2013","S01001794","Band D","Count",20
"2010","S01001794","Band D","Count",19
"2009","S01001794","Band D","Count",19
"2012","S01001794","Band D","Count",21
"2011","S01001794","Band D","Count",20
"2006","S01001794","Band D","Count",19
"2004","S01001794","Band D","Count",19
"2005","S01001794","Band E","Count",37
"2004","S01001794","Band E","Count",37
"2010","S01001794","Band A","Ratio",0
"2012","S01001794","Bands A-C","Ratio","45.38"
"2004","S01001794","Band A","Ratio",0
"2011","S01001794","Band A","Ratio",0
"2010","S01001794","Bands A-C","Ratio","45.5"
"2008","S01001794","Bands A-C","Ratio","45.5"
"2004","S01001794","Bands A-C","Ratio","45.5"
"2012","S01001794","Band A","Ratio",0
"2013","S01001794","Bands A-C","Ratio","45.38"
"2007","S01001794","Bands A-C","Ratio","45.5"
"2009","S01001794","Bands D-E","Ratio","14.55"
"2006","S01001794","Bands D-E","Ratio","14.55"
"2009","S01001794","Band A","Ratio",0
"2008","S01001794","Band A","Ratio",0
"2008","S01001794","Bands D-E","Ratio","14.55"
"2005","S01001794","Band A","Ratio",0
"2011","S01001794","Bands D-E","Ratio","14.81"
"2013","S01001794","Band A","Ratio",0
"2005","S01001794","Bands D-E","Ratio","14.81"
"2007","S01001794","Band A","Ratio",0
"2003","S01001794","Band A","Ratio",0
"2006","S01001794","Band A","Ratio",0
"2010","S01001794","Bands D-E","Ratio","14.55"
"2012","S01001794","Bands D-E","Ratio","15.04"
"2013","S01001794","Bands D-E","Ratio","14.51"
"2007","S01001794","Bands D-E","Ratio","14.55"
"2004","S01001794","Bands F-H","Ratio","39.68"
"2011","S01001794","Bands F-H","Ratio","39.68"
"2010","S01001794","Bands F-H","Ratio","39.95"
"2009","S01001794","Bands F-H","Ratio","39.95"
"2008","S01001794","Bands F-H","Ratio","39.95"
"2007","S01001794","Bands F-H","Ratio","39.95"
"2013","S01001794","Bands F-H","Ratio","40.11"
"2006","S01001794","Bands F-H","Ratio","39.95"
"2003","S01001794","Bands F-H","Ratio","39.58"
"2005","S01001794","Bands F-H","Ratio","39.68"
"2012","S01001794","Bands F-H","Ratio","39.58"
"2003","S01001794","Bands A-C","Ratio","45.38"
"2011","S01001794","Bands A-C","Ratio","45.5"
"2006","S01001794","Bands A-C","Ratio","45.5"
"2005","S01001794","Bands A-C","Ratio","45.5"
"2009","S01001794","Bands A-C","Ratio","45.5"
"2010","S01001795","Band A","Count",0
"2006","S01001795","Band A","Count",0
"2007","S01001795","Band E","Count",51
"2012","S01001795","Band E","Count",50
"2008","S01001795","Band E","Count",51
"2011","S01001795","Band E","Count",50
"2013","S01001795","Band E","Count",50
"2009","S01001795","Band E","Count",51
"2006","S01001795","Band E","Count",51
"2003","S01001795","Band E","Count",52
"2010","S01001795","Band E","Count",51
"2013","S01001795","Band F","Count",43
"2005","S01001795","Band F","Count",40
"2006","S01001795","Band F","Count",41
"2009","S01001795","Band F","Count",41
"2011","S01001795","Band F","Count",41
"2012","S01001795","Band F","Count",41
"2007","S01001795","Band F","Count",40
"2010","S01001795","Band F","Count",40
"2003","S01001795","Band F","Count",40
"2008","S01001795","Band F","Count",41
"2004","S01001795","Band F","Count",40
"2003","S01001795","Band G","Count",54
"2004","S01001795","Band G","Count",55
"2013","S01001795","Band G","Count",57
"2009","S01001795","Band G","Count",55
"2008","S01001795","Band G","Count",56
"2005","S01001795","Band G","Count",55
"2007","S01001795","Band G","Count",56
"2006","S01001795","Band G","Count",59
"2012","S01001795","Band G","Count",55
"2011","S01001795","Band G","Count",55
"2010","S01001795","Band G","Count",55
"2004","S01001795","Band H","Count",11
"2005","S01001795","Band H","Count",11
"2006","S01001795","Band H","Count",11
"2007","S01001795","Band H","Count",11
"2008","S01001795","Band H","Count",11
"2009","S01001795","Band H","Count",11
"2010","S01001795","Band H","Count",11
"2011","S01001795","Band H","Count",11
"2012","S01001795","Band H","Count",11
"2013","S01001795","Band H","Count",11
"2003","S01001795","Band H","Count",11
"2009","S01001795","Band A","Count",1
"2012","S01001795","Band A","Count",0
"2003","S01001795","Band A","Count",1
